file_name,tSNE1,tSNE2,face_name,Target,Network,Iteration
sample/face_478.png,-50.09529,-18.310505,ConsensusHappy_Chain1_Node32.png,ConsensusHappy,1,32
sample/face_989.png,47.54411,2.3002367,ConsensusSad_Chain19_Node5.png,ConsensusSad,19,5
sample/face_1086.png,-54.439507,12.41464,ConsensusSad_Chain22_Node40.png,ConsensusSad,22,40
sample/face_424.png,59.12162,-4.9194803,Ambiguity_Chain13_Node76.png,Ambiguity,13,76
sample/face_171.png,-20.340668,-17.274529,Ambiguity_Chain5_Node13.png,Ambiguity,5,13
sample/face_241.png,41.904095,11.981185,Ambiguity_Chain11_Node28.png,Ambiguity,11,28
sample/face_643.png,-25.198904,8.211572,ConsensusHappy_Chain7_Node8.png,ConsensusHappy,7,8
sample/face_388.png,-71.93907,-28.051674,Ambiguity_Chain3_Node64.png,Ambiguity,3,64
sample/face_373.png,49.586594,-36.099644,Ambiguity_Chain7_Node60.png,Ambiguity,7,60
sample/face_850.png,-66.47822,21.650288,ConsensusHappy_Chain14_Node8.png,ConsensusHappy,14,8
sample/face_13.png,-51.628117,8.617884,Ambiguity_Chain13_Node0.png,Ambiguity,13,0
sample/face_425.png,41.012226,-1.5753793,Ambiguity_Chain2_Node72.png,Ambiguity,2,72
sample/face_915.png,3.353099,-4.6777754,ConsensusHappy_Chain16_Node28.png,ConsensusHappy,16,28
sample/face_811.png,-67.78671,16.835278,ConsensusHappy_Chain12_Node80.png,ConsensusHappy,12,80
sample/face_901.png,7.420573,33.68323,ConsensusHappy_Chain16_Node1.png,ConsensusHappy,16,1
sample/face_882.png,-2.9384053,25.074678,ConsensusHappy_Chain15_Node13.png,ConsensusHappy,15,13
sample/face_451.png,-12.890265,-0.22716382,Ambiguity_Chain15_Node76.png,Ambiguity,15,76
sample/face_493.png,18.178291,15.203656,ConsensusHappy_Chain2_Node1.png,ConsensusHappy,2,1
sample/face_686.png,-76.83796,-19.009434,ConsensusHappy_Chain8_Node56.png,ConsensusHappy,8,56
sample/face_630.png,-18.110271,-3.7206163,ConsensusHappy_Chain6_Node64.png,ConsensusHappy,6,64
sample/face_528.png,-18.723446,9.7732935,ConsensusHappy_Chain3_Node8.png,ConsensusHappy,3,8
sample/face_826.png,-14.73143,24.630241,ConsensusHappy_Chain13_Node20.png,ConsensusHappy,13,20
sample/face_1171.png,29.34552,-29.95276,ConsensusSad_Chain25_Node44.png,ConsensusSad,25,44
sample/face_917.png,-1.2719103,33.592506,ConsensusHappy_Chain16_Node36.png,ConsensusHappy,16,36
sample/face_1179.png,30.392763,32.47712,ConsensusSad_Chain25_Node76.png,ConsensusSad,25,76
sample/face_1062.png,53.39458,16.16456,ConsensusSad_Chain21_Node56.png,ConsensusSad,21,56
sample/face_574.png,-38.231335,17.627586,ConsensusHappy_Chain4_Node72.png,ConsensusHappy,4,72
sample/face_128.png,55.828266,-1.3660783,Ambiguity_Chain9_Node8.png,Ambiguity,9,8
sample/face_547.png,1.6947323,-9.910059,ConsensusHappy_Chain3_Node76.png,ConsensusHappy,3,76
sample/face_1194.png,51.870605,-33.769093,ConsensusSad_Chain26_Node24.png,ConsensusSad,26,24
sample/face_729.png,-59.77777,-34.393913,ConsensusHappy_Chain10_Node6.png,ConsensusHappy,10,6
sample/face_603.png,-71.962234,-15.962493,ConsensusHappy_Chain5_Node72.png,ConsensusHappy,5,72
sample/face_235.png,9.326929,9.353285,Ambiguity_Chain7_Node28.png,Ambiguity,7,28
sample/face_619.png,46.597416,25.200691,ConsensusHappy_Chain6_Node20.png,ConsensusHappy,6,20
sample/face_871.png,8.296463,-19.625324,ConsensusHappy_Chain15_Node0.png,ConsensusHappy,15,0
sample/face_818.png,-45.457535,-20.43411,ConsensusHappy_Chain13_Node5.png,ConsensusHappy,13,5
sample/face_199.png,14.089258,-24.102156,Ambiguity_Chain3_Node13.png,Ambiguity,3,13
sample/face_636.png,-11.189584,0.16896708,ConsensusHappy_Chain7_Node1.png,ConsensusHappy,7,1
sample/face_67.png,-39.842415,-12.064833,Ambiguity_Chain1_Node3.png,Ambiguity,1,3
sample/face_280.png,12.258706,-20.182968,Ambiguity_Chain6_Node36.png,Ambiguity,6,36
sample/face_1067.png,13.979398,22.794132,ConsensusSad_Chain21_Node76.png,ConsensusSad,21,76
sample/face_458.png,0.35244107,34.97123,Ambiguity_Chain16_Node80.png,Ambiguity,16,80
sample/face_267.png,45.2283,36.29561,Ambiguity_Chain7_Node32.png,Ambiguity,7,32
sample/face_635.png,-11.22927,0.16316313,ConsensusHappy_Chain7_Node0.png,ConsensusHappy,7,0
sample/face_22.png,10.946759,12.600449,Ambiguity_Chain3_Node1.png,Ambiguity,3,1
sample/face_918.png,-0.4010288,33.715973,ConsensusHappy_Chain16_Node40.png,ConsensusHappy,16,40
sample/face_651.png,21.190742,-2.8040342,ConsensusHappy_Chain7_Node32.png,ConsensusHappy,7,32
sample/face_531.png,-67.79513,-5.453008,ConsensusHappy_Chain3_Node13.png,ConsensusHappy,3,13
sample/face_846.png,28.99779,-6.3914814,ConsensusHappy_Chain14_Node4.png,ConsensusHappy,14,4
sample/face_372.png,4.3529344,37.46513,Ambiguity_Chain10_Node60.png,Ambiguity,10,60
sample/face_744.png,-3.753456,21.84837,ConsensusHappy_Chain10_Node52.png,ConsensusHappy,10,52
